,type,sex,citizen,count,count11
1,I(Pu),1,US,132,148
2,I(Pu),2,US,35,40
3,I(Pr),1,US,87,63
4,I(Pr),1,US,20,22
5,II,1,US,96,161
6,II,2,US,47,53
7,III,1,US,47,71
8,III,2,US,32,28
9,IV,2,US,71,89
10,IV,1,US,54,55
11,Va,1,US,34,42
12,Va,2,US,14,21
13,I(Pu),1,Non-US,130,136
14,I(Pu),1,Non-US,29,32
15,I(Pr),2,Non-US,79,82
16,I(Pr),1,Non-US,25,26
17,II,2,Non-US,89,116
18,II,1,Non-US,50,56
19,III,2,Non-US,53,61
20,III,2,Non-US,39,30
21,IV,1,Non-US,122,153
22,IV,1,Non-US,105,115
23,Va,1,Non-US,28,27
24,Va,2,Non-US,12,17